ADM0_CODE;ADM0;ADM1_CODE;ADM1;ADM2_CODE;ADM2;AREA_SQKM;ROAD_DENSITY;POPULATION;GDP_2019;GDP_2022;LAND_USE;DISASTERS
NI;Nicaragua;NI50;Boaco;NI5030;San Lorenzo;557,7660976;0,157042849;26082,27963;4239;4255;11;14
NI;Nicaragua;NI91;Región Autónoma Costa Caribe Norte;NI9105;Mulukukú;1717,857722;0,092087672;37523,08509;3765;3936;2;1
NI;Nicaragua;NI65;Chontales;NI6545;San Francisco de Cuapa;274,7104224;0,098945124;60718,268;2724;2940;2;0
NI;Nicaragua;NI05;Nueva Segovia;NI0535;Macuelizo;260,4430069;0,168764724;8985,778565;3047;3285;2;9
NI;Nicaragua;NI75;Carazo;NI7530;La Paz de Carazo;15,96441669;0;5352,371526;4719;5034;2;1
NI;Nicaragua;NI80;Rivas;NI8030;Altagracia;212,3010033;0,266664781;21446,69783;5614;6081;2;8
NI;Nicaragua;NI65;Chontales;NI6550;El Coral;303,0558339;0,068457286;8172,713947;3705;4082;2;0
NI;Nicaragua;NI65;Chontales;NI6520;Santo Domingo;675,8787323;0,161758267;16045,34541;4719;5034;2;1
NI;Nicaragua;NI91;Región Autónoma Costa Caribe Norte;NI9125;Waslala;1331,445739;0,11779347;45874,11269;3587;3901;2;7
NI;Nicaragua;NI05;Nueva Segovia;NI0545;Ocotal;87,05073687;0,265016319;54137,67857;5081;5513;11;19
NI;Nicaragua;NI40;Matagalpa;NI4010;Río Blanco;673,1193309;0,087854787;38934,36567;2368;2692;2;8
NI;Nicaragua;NI30;Chinandega;NI3025;El Viejo;1266,896903;0,149287864;89570,75045;4179;4637;2;30
NI;Nicaragua;NI70;Granada;NI7020;Nandaime;372,0216238;0,165379193;38281,34577;4547;5059;11;11
NI;Nicaragua;NI25;Estelí;NI2530;San Nicolás;173,323348;0,139223627;7424,585687;3743;4116;11;8
NI;Nicaragua;NI85;Río San Juan;NI8525;El Castillo;1659,516342;0,009499382;59833,80056;3713;4000;2;1
NI;Nicaragua;NI85;Río San Juan;NI8520;San Carlos;1449,096916;0,083317825;55486,28988;7509;8124;2;9
NI;Nicaragua;NI30;Chinandega;NI3030;Puerto Morazán;489,3011166;0,078587484;16152,60294;4334;4627;2;6
NI;Nicaragua;NI05;Nueva Segovia;NI0540;Santa María;157,9343805;0,17110963;4722,490322;3725;4153;11;6
NI;Nicaragua;NI65;Chontales;NI6540;Villa Sandino;684,6702944;0,092071304;6943,304524;3705;4082;2;2
NI;Nicaragua;NI65;Chontales;NI6530;San Pedro de Lóvago;460,4710126;0,088262336;20299,75051;4010;4278;2;2
NI;Nicaragua;NI05;Nueva Segovia;NI0550;Ciudad Antigua;124,6115843;0,163320084;6366,499896;2876;3102;2;1
NI;Nicaragua;NI35;León;NI3535;Quezalguaque;84,93423101;0,203150137;9988,340459;4018;4253;5;4
NI;Nicaragua;NI75;Carazo;NI7540;La Conquista;89,23702573;0,163826864;4176,076631;6209;6903;11;4
NI;Nicaragua;NI60;Masaya;NI6025;Masatepe;59,93840823;0,076597299;43876,18545;7886;8214;2;2
NI;Nicaragua;NI30;Chinandega;NI3045;Chinandega;659,9947648;0,123454266;131931,5372;4551;4900;5;40
NI;Nicaragua;NI75;Carazo;NI7505;San Marcos;119,8733715;0,15830246;35326,20812;2437;2502;2;6
NI;Nicaragua;NI65;Chontales;NI6535;Acoyapa;1378,580876;0,116844663;11312,34129;3836;4217;11;3
NI;Nicaragua;NI10;Jinotega;NI1025;San Sebastián de Yalí;400,7605848;0,177999858;44806,54546;2900;3074;2;4
NI;Nicaragua;NI40;Matagalpa;NI4005;Rancho Grande;598,9985839;0,125522543;50215,10783;3607;3813;2;0
NI;Nicaragua;NI55;Managua;NI5500;Mateare;303,0498323;0,185639732;143805,6214;6559;7270;2;2
NI;Nicaragua;NI60;Masaya;NI6035;Catarina;11,60200917;0;8840,296326;8629;9546;2;0
